ID,Gender,Household income,Household size,Method of accessing water,Travel time,Amount spent,Volume per day dry,Volume per day wet,Availability of water,Quality of water,Willingness to pay,lon,lat,Location,date
249,female,100000,7,delivered,20,10000,200,220,often,fair,10000,7.572548913,9.037923828,AREA_C,6/18/2024
250,female,45000,6,delivered,40,5000,120,140,not_often,good,5500,7.572690748,9.038864788,AREA_C,6/18/2024
251,female,70000,9,delivered,20,10000,200,220,not_often,good,10000,7.573564727,9.038678298,AREA_C,6/18/2024
252,male,45000,6,delivered,40,5000,120,140,often,good,5500,7.574237771,9.038698999,AREA_C,6/18/2024
253,male,95000,9,delivered,20,9000,180,200,not_often,good,9000,7.576339304,9.03862578,AREA_C,6/18/2024
254,female,65000,8,delivered,40,8000,140,160,not_often,fair,8500,7.576809819,9.039260574,AREA_C,6/18/2024
255,male,90000,9,delivered,20,9000,180,200,not_often,good,9000,7.575927916,9.039148642,AREA_C,6/18/2024
256,male,NN,NULL,delivered,20,NULL,180,200,often,good,NULL,7.575236571,9.039155,AREA_C,6/18/2024
257,male,90000,7,delivered,30,7000,160,180,often,good,7500,7.574635477,9.039342555,AREA_C,6/19/2024
258,male,90000,9,delivered,35,9000,180,200,not_often,good,9000,7.574651891,9.039794738,AREA_C,6/19/2024
259,female,90000,8,delivered,40,8000,140,160,often,good,8500,7.573853171,9.039348556,AREA_C,6/19/2024
260,male,90000,9,delivered,20,9000,180,200,often,good,9000,7.575422508,9.040448785,AREA_C,6/19/2024
261,male,70000,8,delivered,40,8000,140,160,not_often,fair,8500,7.576587746,9.040218207,AREA_C,6/19/2024
262,female,60000,8,delivered,40,8000,140,160,often,good,8500,7.573729369,9.040758687,AREA_C,6/19/2024
263,male,65000,8,delivered,45,8000,140,160,not_often,good,8500,7.57381816,9.041310618,AREA_C,6/19/2024
264,male,80000,7,delivered,30,7000,160,180,often,good,7500,7.574133753,9.042017152,AREA_C,6/19/2024
265,male,55000,6,delivered,40,5000,120,140,often,fair,5500,7.574793092,9.040898459,AREA_C,6/19/2024
266,male,80000,7,delivered,30,7000,160,180,not_often,very good,7500,7.575016124,9.04201154,AREA_C,6/19/2024
267,female,80000,9,delivered,20,9000,180,200,not_often,fair,9000,7.575422824,9.042682257,AREA_C,6/19/2024
268,male,N,6,delivered,40,5000,120,140,not_often,good,NULL,7.575429609,9.043270039,AREA_C,6/19/2024
269,female,80000,6,delivered,20,9000,180,200,not_often,fair,9000,7.576643606,9.042207752,AREA_C,6/19/2024
270,female,80000,7,delivered,30,7000,160,180,not_often,good,7500,7.576969899,9.042507417,AREA_C,6/19/2024
271,female,65000,8,delivered,40,8000,140,160,not_often,fair,8500,7.577830388,9.043442123,AREA_C,6/19/2024
272,male,45000,6,delivered,40,5000,120,140,not_often,good,5500,7.578081606,9.044329253,AREA_C,6/20/2024
273,male,50000,7,delivered,50,4000,100,120,often,good,5000,7.578160456,9.045098164,AREA_C,6/20/2024
274,female,40000,7,delivered,60,3000,80,100,not_often,good,3500,7.577229359,9.043611597,AREA_C,6/20/2024
275,male,85000,9,delivered,20,9000,180,200,not_often,fair,9000,7.577608953,9.044236996,AREA_C,6/20/2024
276,female,105000,9,delivered,20,10000,200,220,often,fair,10000,7.577379486,9.044760565,AREA_C,6/20/2024
277,female,75000,7,delivered,30,7000,160,180,often,fair,7500,7.576406286,9.044729659,AREA_C,6/20/2024
278,male,85000,9,delivered,20,9000,180,200,not_often,good,9000,7.575379043,9.044562905,AREA_C,6/20/2024
279,female,65000,8,delivered,40,8000,140,160,often,good,8500,7.574744863,9.043909388,AREA_C,6/20/2024
280,female,70000,8,delivered,40,8000,140,160,often,good,8500,7.574485861,9.04500251,AREA_C,6/20/2024
281,female,55000,6,delivered,40,5000,120,140,often,good,5500,7.574104705,9.044774968,AREA_C,6/20/2024
282,female,55000,7,delivered,30,7000,160,180,not_often,fair,7500,7.574163981,9.043581603,AREA_C,6/20/2024
283,female,N,6,delivered,20,NULL,180,200,often,fair,NULL,7.571833002,9.03954867,AREA_C,6/20/2024
284,male,55000,9,delivered,20,9000,180,200,not_often,fair,9000,7.573414348,9.039907478,AREA_C,6/20/2024
285,male,55000,7,delivered,60,3000,80,100,often,fair,3500,7.572650055,9.039958758,AREA_C,6/20/2024
286,female,55000,9,delivered,20,9000,180,200,not_often,fair,9000,7.57195789,9.040173081,AREA_C,6/20/2024
287,female,N,NULL,delivered,20,NULL,180,200,not_often,good,NULL,7.57055747,9.040068159,AREA_C,6/20/2024
288,male,70000,8,delivered,40,8000,140,160,often,fair,8500,7.57068257,9.040638317,AREA_C,6/20/2024
289,male,100000,6,delivered,20,10000,200,220,often,fair,10000,7.571735447,9.041221131,AREA_C,6/20/2024
290,female,40000,7,delivered,60,3000,80,100,not_often,fair,2500,7.570031317,9.042010219,AREA_C,6/21/2024
291,female,N,6,delivered,40,5000,120,140,not_often,good,NULL,7.570813913,9.041931888,AREA_C,6/21/2024
292,female,75000,7,delivered,30,7000,160,180,often,good,7500,7.570382394,9.042942952,AREA_C,6/21/2024
293,female,90000,9,delivered,20,9000,180,200,often,good,9000,7.571046956,9.042809907,AREA_C,6/21/2024
294,female,60000,6,delivered,40,5000,120,140,not_often,good,5500,7.571754431,9.04332808,AREA_C,6/21/2024
295,female,105000,9,delivered,20,9000,180,200,not_often,good,9000,7.57306997,9.044201271,AREA_C,6/21/2024
296,female,40000,7,delivered,60,3000,80,100,not_often,fair,3500,7.573466076,9.04525173,AREA_C,6/21/2024
297,female,85000,9,delivered,20,9000,180,200,often,very good,9000,7.57273013,9.045031847,AREA_C,6/21/2024
298,female,45000,6,delivered,35,5000,120,140,not_often,good,5500,7.572286692,9.044451408,AREA_C,6/21/2024
299,female,65000,7,delivered,30,7000,160,180,not_often,good,7500,7.57215364,9.045897671,AREA_C,6/21/2024
300,female,45000,6,delivered,40,5000,120,140,often,good,5500,7.571300654,9.045369889,AREA_C,6/21/2024
301,female,100000,7,delivered,20,10000,200,220,not_often,good,10000,7.570054548,9.026891454,AREA_D,6/21/2024
302,female,N,8,delivered,40,NULL,140,160,not_often,fair,NULL,7.570329453,9.026377108,AREA_D,6/21/2024
303,female,100000,6,delivered,40,5000,120,140,not_often,good,5500,7.570540616,9.025880599,AREA_D,6/21/2024
304,female,100000,7,delivered,50,4000,100,120,often,good,5000,7.570796225,9.025646492,AREA_D,6/21/2024
305,female,100000,7,delivered,30,7000,160,180,not_often,good,7500,7.571214276,9.025738542,AREA_D,6/21/2024
306,female,N,9,delivered,20,9000,180,200,not_often,good,NULL,7.570903844,9.026035733,AREA_D,6/21/2024
307,female,100000,6,delivered,40,5000,120,140,often,fair,5500,7.570491789,9.026730393,AREA_D,7/1/2024
308,female,70000,8,delivered,35,8000,140,160,often,fair,8500,7.570453981,9.027091941,AREA_D,7/1/2024
309,female,65000,8,delivered,40,8000,140,160,not_often,good,8500,7.570829012,9.0265599,AREA_D,7/1/2024
310,female,105000,7,delivered,20,9000,180,200,often,fair,9000,7.571521577,9.026237068,AREA_D,7/1/2024
311,female,100000,6,carried,20,9000,180,200,not_often,fair,9000,7.570780827,9.027246934,AREA_D,7/1/2024
312,female,N,8,delivered,40,NULL,140,160,often,fair,NULL,7.571125401,9.027519546,AREA_D,7/1/2024
313,female,70000,8,carried,40,8000,140,160,often,good,8500,7.571126897,9.027139772,AREA_D,7/1/2024
314,female,90000,9,delivered,20,9000,180,200,not_often,fair,9000,7.571319262,9.026796909,AREA_D,7/1/2024
315,male,70000,8,delivered,40,8000,140,160,often,fair,8500,7.572175339,9.026528967,AREA_D,7/1/2024
316,female,90000,9,delivered,20,10000,200,220,often,fair,10000,7.571782545,9.026952432,AREA_D,7/1/2024
317,male,45000,6,carried,40,5000,120,140,not_often,good,5500,7.571615439,9.027810809,AREA_D,7/1/2024
318,female,60000,6,carried,40,5000,120,140,not_often,fair,5500,7.572025785,9.027550175,AREA_D,7/1/2024
319,female,NULL,NULL,delivered,60,NULL,80,100,often,good,NULL,7.572236413,9.027189299,AREA_D,7/1/2024
320,male,40000,7,delivered,60,3000,80,100,often,fair,2000,7.572455994,9.026864626,AREA_D,7/1/2024
321,male,105000,6,delivered,20,9000,180,200,often,fair,9000,7.572781383,9.02739035,AREA_D,7/1/2024
322,male,100000,5,delivered,40,8000,140,160,often,fair,8500,7.572879695,9.027833809,AREA_D,7/1/2024
323,female,100000,9,delivered,20,9000,180,200,not_often,fair,9000,7.572332555,9.028184335,AREA_D,7/1/2024
324,female,100000,6,delivered,40,5000,120,140,often,good,5500,7.572722825,9.02840287,AREA_D,7/1/2024
325,male,NULL,6,delivered,40,5000,120,140,often,good,NULL,7.572967951,9.028521374,AREA_D,7/2/2024
326,male,100000,9,delivered,20,9000,180,200,often,good,9000,7.573262468,9.027645406,AREA_D,7/2/2024
327,male,100000,8,delivered,40,8000,140,160,often,fair,8500,7.573300096,9.027329068,AREA_D,7/2/2024
328,female,100000,7,delivered,30,7000,160,180,not_often,fair,7500,7.573555669,9.027104001,AREA_D,7/2/2024
329,female,45000,9,delivered,20,9000,180,200,not_often,fair,9000,7.573296541,9.028233294,AREA_D,7/2/2024
330,female,60000,6,carried,40,5000,120,140,not_often,good,5500,7.573448897,9.028812599,AREA_D,7/2/2024
331,female,NULL,NULL,delivered,30,NULL,160,180,not_often,good,NULL,7.573486524,9.028496261,AREA_D,7/2/2024
332,male,105000,7,carried,20,9000,180,200,not_often,fair,9000,7.573625131,9.027945214,AREA_D,7/2/2024
333,female,70000,8,delivered,40,8000,140,160,often,good,8500,7.573908951,9.027476111,AREA_D,7/2/2024
334,male,75000,7,delivered,30,7000,160,180,often,fair,7500,7.574554154,9.027632337,AREA_D,7/2/2024
335,male,75000,7,carried,30,7000,160,180,often,fair,7500,7.574315921,9.02807449,AREA_D,7/2/2024
336,male,75000,7,delivered,30,7000,160,180,often,good,7500,7.574621629,9.028979916,AREA_D,7/2/2024
337,male,60000,6,carried,40,5000,120,140,not_often,good,5500,7.574284015,9.029249877,AREA_D,7/2/2024
338,female,NULL,8,carried,40,8000,140,160,not_often,good,NULL,7.574674358,9.029450326,AREA_D,7/2/2024
339,male,50000,7,delivered,50,4000,100,120,not_often,fair,5000,7.575093268,9.029325358,AREA_D,7/2/2024
340,male,50000,8,carried,35,8000,140,160,often,good,8500,7.575095043,9.028873245,AREA_D,7/2/2024
341,male,50000,6,delivered,40,5000,120,140,often,fair,5500,7.575187138,9.028584245,AREA_D,7/2/2024
342,female,NULL,NULL,carried,30,NULL,160,180,not_often,good,NULL,7.575379324,9.028286592,AREA_D,7/2/2024
343,female,50000,9,carried,20,9000,180,200,not_often,fair,9000,7.57581575,9.028333497,AREA_D,7/2/2024
344,male,50000,8,carried,40,8000,140,160,not_often,fair,8500,7.575704895,9.028767102,AREA_D,7/3/2024
345,male,50000,6,delivered,40,5000,120,140,often,good,5500,7.575436925,9.029833066,AREA_D,7/3/2024
346,female,NULL,NULL,carried,30,NULL,160,180,often,good,NULL,7.575930696,9.029174886,AREA_D,7/3/2024
347,male,50000,8,carried,40,8000,140,160,not_often,good,8500,7.576323843,9.028660994,AREA_D,7/3/2024
348,female,70000,7,delivered,30,7000,160,180,often,good,7500,7.576322069,9.029113107,AREA_D,7/3/2024
349,male,75000,7,carried,30,7000,160,180,often,good,7500,7.575992948,9.029536824,AREA_D,7/3/2024
350,female,90000,9,delivered,50,9000,180,200,not_often,fair,9000,7.575899753,9.030106133,AREA_D,7/3/2024
351,male,70000,8,delivered,40,8000,140,160,not_often,fair,8500,7.576584681,9.029412524,AREA_D,7/3/2024
352,male,75000,7,carried,30,7000,160,180,often,fair,7500,7.576923252,9.02889842,AREA_D,7/3/2024
353,female,100000,6,delivered,20,10000,200,220,not_often,good,10000,7.571460718,9.025522483,AREA_D,7/3/2024
354,female,70000,8,delivered,35,8000,140,160,often,fair,8500,7.571971435,9.025180858,AREA_D,7/3/2024
355,male,NULL,NULL,delivered,20,NULL,180,200,not_often,good,NULL,7.571777933,9.025813073,AREA_D,7/3/2024
356,male,95000,9,delivered,20,9000,180,200,not_often,good,9000,7.572024338,9.025606056,AREA_D,7/3/2024
357,male,90000,9,delivered,20,9000,180,200,often,fair,9000,7.572506914,9.025481338,AREA_D,7/3/2024
358,female,40000,7,delivered,60,3000,80,100,often,fair,3500,7.572205045,9.0259142,AREA_D,7/3/2024
359,male,55000,6,delivered,40,5000,120,140,often,good,5500,7.572576765,9.026223086,AREA_D,7/3/2024
360,male,100000,6,delivered,20,9000,180,200,not_often,good,9000,7.572906206,9.025717992,AREA_D,7/3/2024
361,female,85000,9,delivered,20,9000,180,200,not_often,fair,9000,7.572931823,9.026143084,AREA_D,7/3/2024
362,male,105000,9,delivered,20,9000,180,200,not_often,fair,9000,7.573323903,9.025900463,AREA_D,7/3/2024
363,female,100000,9,delivered,20,10000,200,220,not_often,fair,10000,7.573249751,9.026252828,AREA_D,7/3/2024
364,female,NULL,8,delivered,40,8000,140,160,often,very good,NULL,7.573012263,9.026505092,AREA_D,7/3/2024
365,female,100000,9,delivered,20,9000,180,200,not_often,good,9000,7.573777629,9.026173497,AREA_D,7/3/2024
366,female,100000,6,delivered,40,5000,120,140,not_often,good,5500,7.57353062,9.026534233,AREA_D,7/3/2024
367,female,NULL,NULL,delivered,40,NULL,140,160,often,good,NULL,7.574030998,9.026509049,AREA_D,7/4/2024
368,female,100000,9,delivered,20,9000,180,200,often,good,9000,7.574492188,9.027198061,AREA_D,7/4/2024
369,female,80000,8,delivered,40,8000,140,160,not_often,good,8500,7.574584993,9.026728217,AREA_D,7/4/2024
370,male,65000,8,carried,40,8000,140,160,not_often,fair,8500,7.576145331,9.027792231,AREA_D,7/4/2024
371,female,80000,7,delivered,30,7000,160,180,often,good,7500,7.576470761,9.028308909,AREA_D,7/4/2024
372,female,60000,6,carried,40,5000,120,140,often,good,5500,7.576700074,9.027821508,AREA_D,7/4/2024
373,female,NULL,NULL,carried,20,9000,180,200,often,fair,NULL,7.576915361,9.028590947,AREA_D,7/4/2024
374,female,60000,7,carried,20,9000,180,200,often,good,9000,7.577144213,9.028221095,AREA_D,7/4/2024
375,female,60000,7,carried,30,7000,160,180,not_often,very good,7500,7.577332107,9.029017555,AREA_D,7/4/2024
376,female,70000,8,carried,40,8000,140,160,often,fair,8500,7.576553633,9.030370899,AREA_D,7/4/2024
377,female,50000,7,carried,50,4000,100,120,not_often,fair,5000,7.576964263,9.030037922,AREA_D,7/4/2024
378,male,80000,7,carried,30,7000,160,180,not_often,good,7500,7.577184091,9.02964995,AREA_D,7/4/2024
379,female,40000,7,carried,50,3000,80,100,not_often,fair,2000,7.57749353,9.029605937,AREA_D,7/4/2024
380,male,100000,7,carried,20,10000,200,220,often,good,10000,7.577199517,9.030355318,AREA_D,7/4/2024
381,male,70000,8,carried,40,8000,140,160,not_often,fair,8500,7.577052882,9.030635064,AREA_D,7/4/2024
382,female,NULL,NULL,carried,30,7000,160,180,not_often,fair,NULL,7.57752729,9.030275206,AREA_D,7/4/2024
383,female,85000,9,carried,20,9000,180,200,often,fair,9000,7.577628835,9.029895819,AREA_D,7/5/2024
384,female,70000,8,carried,40,8000,140,160,not_often,good,8500,7.577875914,9.029516994,AREA_D,7/5/2024
385,female,95000,9,carried,20,9000,180,200,not_often,fair,9000,7.577991928,9.030087116,AREA_D,7/5/2024
386,male,65000,8,carried,40,8000,140,160,not_often,good,8500,7.577651833,9.030990039,AREA_D,7/5/2024
387,male,NULL,6,carried,40,5000,120,140,often,good,NULL,7.578105746,9.031217858,AREA_D,7/5/2024
388,female,65000,9,carried,20,9000,180,200,not_often,good,9000,7.578623544,9.031391669,AREA_D,7/5/2024
389,female,65000,9,carried,20,9000,180,200,not_often,fair,9000,7.578371089,9.030821019,AREA_D,7/5/2024
390,female,65000,7,carried,20,9000,180,200,not_often,fair,9000,7.578236137,9.030440715,AREA_D,7/5/2024
391,male,75000,7,carried,30,7000,160,180,not_often,good,7500,7.578825179,9.031003626,AREA_D,7/5/2024
392,male,70000,8,carried,40,8000,140,160,not_often,fair,8500,7.57857244,9.030505315,AREA_D,7/5/2024
393,female,105000,9,carried,20,9000,180,200,not_often,fair,9000,7.578890551,9.030569843,AREA_D,7/5/2024
394,female,60000,6,carried,35,5000,120,140,often,fair,5500,7.579080929,9.030733343,AREA_D,7/5/2024
395,female,90000,9,carried,20,9000,180,200,not_often,fair,9000,7.579263911,9.030462779,AREA_D,7/5/2024
396,male,80000,7,carried,30,7000,160,180,not_often,fair,7500,7.578819448,9.030144574,AREA_D,7/5/2024
397,female,60000,7,carried,30,7000,160,180,often,good,7500,7.57849249,9.030016715,AREA_D,7/5/2024
398,male,95000,9,carried,20,9000,180,200,not_often,good,9000,7.579073675,9.03026311,AREA_D,7/5/2024
399,female,60000,6,carried,40,5000,120,140,not_often,good,5500,7.579900735,9.030438116,AREA_D,7/5/2024
400,female,NULL,8,carried,40,NULL,140,160,not_often,fair,8500,7.579883888,9.030094439,AREA_D,7/5/2024
401,male,95000,9,carried,20,9000,180,200,often,fair,9000,7.601445328,9.031524538,ASO,7/5/2024
402,male,60000,6,carried,40,5000,120,140,not_often,good,5500,7.600361743,9.031818811,ASO,7/5/2024
403,female,95000,9,carried,20,10000,200,220,often,fair,10000,7.601452018,9.032148496,ASO,7/5/2024
404,male,100000,6,carried,20,10000,200,220,not_often,good,10000,7.600560147,9.032262649,ASO,7/5/2024
405,male,60000,6,carried,40,5000,120,140,often,good,5500,7.600267432,9.03268653,ASO,7/9/2024
406,female,50000,7,carried,50,4000,100,120,not_often,fair,5000,7.599533789,9.031869908,ASO,7/9/2024
407,female,100000,5,carried,20,10000,200,220,not_often,fair,10000,7.599413236,9.032466252,ASO,7/9/2024
408,female,50000,7,carried,50,4000,100,120,not_often,fair,5000,7.598821186,9.032671969,ASO,7/9/2024
409,male,100000,7,carried,20,10000,200,220,not_often,fair,10000,7.59881457,9.032029928,ASO,7/9/2024
410,male,75000,7,carried,30,7000,160,180,often,fair,7500,7.598230953,9.032407484,ASO,7/9/2024
411,female,80000,9,carried,20,9000,180,200,often,fair,9000,7.597448094,9.032558215,ASO,7/9/2024
412,female,50000,7,delivered,50,4000,100,120,not_often,good,5000,7.596945116,9.033252564,ASO,7/9/2024
413,female,100000,6,delivered,20,10000,200,220,often,good,10000,7.597945234,9.033373938,ASO,7/9/2024
414,male,40000,7,delivered,60,3000,80,100,often,good,3500,7.59849849,9.033792005,ASO,7/9/2024
415,female,65000,8,delivered,40,8000,140,160,not_often,good,8500,7.598600504,9.033286016,ASO,7/9/2024
416,female,50000,7,delivered,50,4000,100,120,often,fair,5000,7.599219564,9.033152742,ASO,7/9/2024
417,female,90000,9,delivered,20,9000,180,200,often,good,9000,7.599317037,9.033822258,ASO,7/9/2024
418,female,40000,7,delivered,50,4000,100,120,often,fair,5000,7.599966318,9.032929529,ASO,7/10/2024
419,female,50000,7,delivered,50,4000,100,120,not_often,good,5000,7.600563556,9.033736588,ASO,7/10/2024
420,female,50000,7,delivered,30,7000,160,180,often,fair,7500,7.60089475,9.032770304,ASO,7/10/2024
421,male,NULL,NULL,delivered,20,9000,180,200,often,fair,NULL,7.601330805,9.032916646,ASO,7/10/2024
422,female,50000,8,delivered,40,8000,140,160,not_often,good,8500,7.601581905,9.03384898,ASO,7/10/2024
423,male,50000,9,delivered,20,10000,200,220,often,good,10000,7.602257007,9.033336129,ASO,7/10/2024
424,male,50000,7,delivered,50,3000,80,100,often,fair,3500,7.6021964,9.032540159,ASO,7/10/2024
425,female,95000,9,delivered,20,9000,180,200,often,good,9000,7.597375784,9.034791432,ASO,7/10/2024
426,female,65000,8,delivered,40,8000,140,160,often,fair,8500,7.597697681,9.033879371,ASO,7/10/2024
427,female,95000,9,delivered,20,9000,180,200,often,good,9000,7.599050978,9.034409004,ASO,7/10/2024
428,male,100000,9,delivered,20,10000,200,220,not_often,good,10000,7.598487646,9.034244088,ASO,7/10/2024
429,male,100000,6,delivered,40,5000,120,140,often,good,5500,7.598132373,9.034378368,ASO,7/10/2024
430,male,NULL,7,delivered,30,7000,160,180,often,good,NULL,7.598847439,9.03529439,ASO,7/10/2024
431,male,100000,6,delivered,40,5000,120,140,often,fair,5500,7.599255579,9.035603393,ASO,7/10/2024
432,male,100000,7,delivered,60,3000,80,100,often,good,2500,7.600025663,9.034051024,ASO,7/10/2024
433,female,60000,6,delivered,40,5000,120,140,not_often,fair,5500,7.600440665,9.034938771,ASO,7/10/2024
434,male,70000,8,delivered,40,8000,140,160,not_often,fair,8500,7.599865372,9.035515296,ASO,7/10/2024
435,female,70000,8,delivered,35,8000,140,160,often,very good,8500,7.599586359,9.034745619,ASO,7/10/2024
436,female,90000,9,delivered,20,9000,180,200,not_often,fair,9000,7.600678806,9.034514682,ASO,7/10/2024
437,female,NULL,9,delivered,20,NULL,180,200,often,good,NULL,7.600830963,9.035157279,ASO,7/11/2024
438,female,105000,7,delivered,30,7000,160,180,often,fair,7500,7.601351154,9.03471618,ASO,7/11/2024
439,male,55000,6,delivered,40,5000,120,140,often,fair,5500,7.601271381,9.034173326,ASO,7/11/2024
440,male,55000,6,delivered,40,5000,120,140,not_often,good,5500,7.60230883,9.034050684,ASO,7/11/2024
441,female,90000,9,delivered,20,9000,180,200,not_often,good,9000,7.602233656,9.03467433,ASO,7/11/2024
442,female,45000,6,delivered,40,5000,120,140,not_often,fair,5500,7.601805753,9.034772168,ASO,7/11/2024
443,male,100000,7,delivered,20,10000,200,220,not_often,good,10000,7.602257355,9.035605798,ASO,7/11/2024
444,female,60000,6,delivered,40,5000,120,140,not_often,good,5500,7.600956146,9.035718391,ASO,7/11/2024
445,female,80000,9,delivered,20,9000,180,200,not_often,good,9000,7.601519029,9.036000854,ASO,7/11/2024
446,female,85000,9,delivered,20,9000,180,200,not_often,good,9000,7.602109689,9.036156827,ASO,7/11/2024
447,female,NULL,7,carried,60,3000,80,100,often,good,NULL,7.602335351,9.036609812,ASO,7/11/2024
448,male,85000,9,delivered,20,9000,180,200,not_often,fair,9000,7.601524498,9.036941294,ASO,7/11/2024
449,male,85000,6,delivered,20,9000,180,200,not_often,fair,9000,7.600934709,9.036559261,ASO,7/11/2024
450,female,85000,7,delivered,20,9000,180,200,often,fair,9000,7.600249596,9.037307175,ASO,7/11/2024
451,male,40000,7,delivered,60,3000,80,100,not_often,good,3500,7.599805767,9.036817186,ASO,7/11/2024
452,female,105000,7,delivered,20,10000,200,220,often,fair,10000,7.60006294,9.036176151,ASO,7/11/2024
453,female,60000,6,delivered,40,5000,120,140,often,fair,5500,7.599203985,9.037185631,ASO,7/11/2024
454,male,55000,6,delivered,40,5000,120,140,often,fair,5500,7.598731785,9.036975851,ASO,7/11/2024
455,female,95000,9,delivered,20,9000,180,200,not_often,fair,9000,7.599144539,9.036091263,ASO,7/11/2024
456,female,NULL,9,delivered,20,NULL,180,200,not_often,fair,NULL,7.59836979,9.036495216,ASO,7/11/2024
457,female,95000,7,delivered,20,10000,200,220,often,fair,10000,7.598353939,9.03588931,ASO,7/11/2024
458,female,95000,7,delivered,50,4000,100,120,not_often,good,5000,7.597849488,9.036963437,ASO,7/11/2024
459,male,95000,6,delivered,40,5000,120,140,not_often,fair,5500,7.598446858,9.035383285,ASO,7/15/2024
460,male,95000,7,delivered,30,7000,160,180,not_often,fair,7500,7.598102148,9.035137822,ASO,7/15/2024
461,female,95000,6,delivered,40,5000,120,140,not_often,fair,5500,7.597618897,9.035434377,ASO,7/15/2024
462,female,90000,9,delivered,20,9000,180,200,often,good,9000,7.597662979,9.035796245,ASO,7/15/2024
463,male,45000,6,carried,40,5000,120,140,not_often,fair,5500,7.597218561,9.035459974,ASO,7/15/2024
464,male,85000,9,delivered,50,9000,180,200,often,good,9000,7.596922516,9.03439183,ASO,7/15/2024
465,male,105000,7,delivered,20,9000,180,200,not_often,fair,9000,7.596628885,9.035050808,ASO,7/15/2024
466,male,NULL,6,delivered,20,10000,200,220,not_often,good,NULL,7.596490938,9.035439107,ASO,7/15/2024
467,male,95000,9,carried,20,9000,180,200,not_often,fair,9000,7.596561607,9.035981926,ASO,7/15/2024
468,female,65000,8,carried,40,8000,140,160,often,good,8500,7.596495029,9.036732196,ASO,7/15/2024
469,female,65000,8,delivered,40,8000,140,160,often,good,8500,7.597332473,9.036581677,ASO,7/15/2024
470,female,50000,7,delivered,50,4000,100,120,often,fair,5000,7.597119307,9.037602662,ASO,7/15/2024
471,male,70000,8,delivered,40,8000,140,160,often,fair,8500,7.597964976,9.037678235,ASO,7/15/2024
472,female,NULL,NULL,delivered,30,NULL,160,180,often,fair,NULL,7.598674726,9.037617649,ASO,7/15/2024
473,female,85000,7,delivered,20,7000,160,180,not_often,fair,7500,7.598490529,9.038204707,ASO,7/15/2024
474,female,95000,9,delivered,20,9000,180,200,often,fair,9000,7.597635413,9.038219524,ASO,7/15/2024
475,female,75000,7,delivered,30,7000,160,180,not_often,fair,7500,7.598178669,9.038872659,ASO,7/15/2024
476,male,50000,7,delivered,50,4000,100,120,not_often,good,5000,7.598524922,9.03872026,ASO,7/15/2024
477,male,80000,7,delivered,30,7000,160,180,often,fair,7500,7.599346135,9.038063295,ASO,7/15/2024
478,male,45000,6,delivered,35,5000,120,140,often,fair,5500,7.599825512,9.038770439,ASO,7/16/2024
479,female,80000,7,delivered,30,7000,160,180,not_often,fair,7500,7.599198219,9.038677619,ASO,7/16/2024
480,male,85000,9,delivered,20,10000,200,220,not_often,fair,10000,7.599232962,9.039102749,ASO,7/16/2024
481,female,100000,7,delivered,20,10000,200,220,not_often,fair,10000,7.598686557,9.039263426,ASO,7/16/2024
482,male,105000,6,delivered,20,9000,180,200,often,good,9000,7.599458097,9.03969137,ASO,7/16/2024
483,female,60000,6,delivered,40,5000,120,140,not_often,good,5500,7.599920575,9.040063878,ASO,7/16/2024
484,male,105000,9,delivered,20,9000,180,200,not_often,good,9000,7.600450605,9.039432926,ASO,7/16/2024
485,male,40000,7,delivered,35,3000,80,100,not_often,fair,200,7.600667205,9.039876835,ASO,7/16/2024
486,female,55000,6,delivered,40,5000,120,140,often,fair,5500,7.600646463,9.040536857,ASO,7/16/2024
487,male,NULL,7,delivered,30,NULL,160,180,often,fair,NULL,7.599983186,9.037984345,ASO,7/16/2024
488,female,55000,8,delivered,40,8000,140,160,often,good,8500,7.600379615,9.038971489,ASO,7/16/2024
489,male,55000,7,delivered,50,4000,100,120,not_often,fair,5000,7.601006001,9.039299408,ASO,7/16/2024
490,male,55000,9,delivered,20,9000,180,200,often,good,9000,7.60145294,9.038984625,ASO,7/16/2024
491,female,NULL,NULL,delivered,20,NULL,180,200,not_often,fair,NULL,7.601765143,9.038226246,ASO,7/16/2024
492,male,55000,9,delivered,20,9000,180,200,often,good,9000,7.601493851,9.040169348,ASO,7/16/2024
493,male,75000,7,delivered,30,7000,160,180,not_often,good,7500,7.601723526,9.039582461,ASO,7/16/2024
494,female,55000,6,delivered,40,5000,120,140,often,good,5500,7.602259335,9.039810566,ASO,7/16/2024
495,female,85000,9,delivered,35,9000,180,200,not_often,good,9000,7.602887642,9.039641153,ASO,7/16/2024
496,female,90000,9,delivered,20,9000,180,200,not_often,fair,9000,7.602644273,9.039061506,ASO,7/17/2024
497,female,90000,9,delivered,20,10000,200,220,not_often,good,10000,7.602217655,9.038824775,ASO,7/17/2024
498,male,90000,7,delivered,30,7000,160,180,not_often,good,7500,7.60262873,9.038374217,ASO,7/17/2024
499,female,NULL,7,carried,50,4000,100,120,often,fair,NULL,7.60259482,9.03773207,ASO,7/17/2024
500,female,90000,9,carried,20,9000,180,200,not_often,very good,9000,7.601951044,9.03719611,ASO,7/17/2024
501,female,105000,7,carried,30,7000,160,180,often,good,7500,7.59536622,9.053375059,ASO_B,7/17/2024
